ClusterID,ClusterName,Organism,subunits(UniProt IDs),subunits(Entrez IDs),subunits(Protein name),subunits(Gene name),Complex comment,subunits(Gene name syn)
5234,IKBKB-CDC37-KIAA1967-HSP90AB1-HSP90AA1 complex,Human,O14920;P07900;P08238;Q16543;Q8N163,3551;3320;3326;11140;57805,Inhibitor of nuclear factor kappa-B kinase subunit beta ;Heat shock protein HSP 90-alpha ;Heat shock protein HSP 90-beta ;Hsp90 co-chaperone Cdc37 ;Cell cycle and apoptosis regulator protein 2,IKBKB;HSP90AA1;HSP90AB1;CDC37;CCAR2,None,IKKB;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;CDC37A;DBC1 KIAA1967
5235,WRN-Ku70-Ku80-PARP1 complex,Human,P09874;P12956;P13010;Q14191,142;2547;7520;7486,Poly [ADP-ribose] polymerase 1 ;X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5 ;Werner syndrome ATP-dependent helicase,PARP1;XRCC6;XRCC5;WRN,PARP1 regulates the exonucleolytic activity of WRN.,ADPRT PPOL;G22P1;G22P2;RECQ3 RECQL2
5237,c-Myc-Max-Arf complex,Mouse,P01108;P28574;Q64364,17869;17187;12578,Myc proto-oncogene protein ;Protein max ;Tumor suppressor ARF,Myc;Max;Cdkn2a,None,;Myn;
5239,CAP(C)-CAP(E) complex,Human,O95347;Q9NTJ3,10592;10051,Structural maintenance of chromosomes protein 2 ;Structural maintenance of chromosomes protein 4,SMC2;SMC4,CAP(C)-CAP(E) complex is required for mitotic chromosome condensation.,CAPE SMC2L1;CAPC SMC4L1
5241,SMC1-SMC3 complex,Human,Q14683;Q9UQE7,8243;9126,Structural maintenance of chromosomes protein 1A ;Structural maintenance of chromosomes protein 3,SMC1A;SMC3,SMC1-SMC3 complex is required for metaphase progression in mitotic cells.,DXS423E KIAA0178 SB1.8 SMC1 SMC1L1;BAM BMH CSPG6 SMC3L1
5243,XRCC1-LIG3-PNK-TDP1 complex,Human,P18887;P49916;Q96T60;Q9NUW8,7515;3980;11284;55775,DNA repair protein XRCC1 ;DNA ligase 3 ;Bifunctional polynucleotide phosphatase/kinase ;Tyrosyl-DNA phosphodiesterase 1,XRCC1;LIG3;PNKP;TDP1,None,;;;
5244,Dolichol-phosphate mannose (DPM) synthase,Human,O60762;O94777;Q9P2X0,8813;8818;54344,Dolichol-phosphate mannosyltransferase subunit 1 ;Dolichol phosphate-mannose biosynthesis regulatory protein ;Dolichol-phosphate mannosyltransferase subunit 3,DPM1;DPM2;DPM3,The results indicate that DPM2 stabilizes DPM3 and DPM3 stabilizes DPM1.,;;
5248,Iqgap1-Cdc42-Ctnnb1-Cdh2 complex,Rat,Q8CFN2;Q9JKF1;Q9WU82;Q9Z1Y3,64465;29875;84353;83501,Cell division control protein 42 homolog;Ras GTPase-activating-like protein IQGAP1;Catenin beta-1 ;Cadherin-2,Cdc42;Iqgap1;Ctnnb1;Cdh2,None,;;Catnb;
5249,Iqgap1-Cdh1-Ctnnb1-Cdh2 complex,Rat,Q9JKF1;Q9R0T4;Q9WU82;Q9Z1Y3,29875;83502;84353;83501,Ras GTPase-activating-like protein IQGAP1;Cadherin-1 ;Catenin beta-1 ;Cadherin-2,Iqgap1;Cdh1;Ctnnb1;Cdh2,None,;;Catnb;
5250,Iqgap1-Actb-Vim complex,Rat,P31000;P60711;Q9JKF1,81818;81822;29875,"Vimentin;Actin, cytoplasmic 1 ;Ras GTPase-activating-like protein IQGAP1",Vim;Actb;Iqgap1,None,;;
5251,Ku-ORC complex,Human,O43929;P12956;P13010;Q13416;Q9UBD5;Q9Y5N6,5000;2547;7520;4999;23595;23594,Origin recognition complex subunit 4;X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5 ;Origin recognition complex subunit 2;Origin recognition complex subunit 3 ;Origin recognition complex subunit 6,ORC4;XRCC6;XRCC5;ORC2;ORC3;ORC6,"Ku associates specifically with DNA replication origins in vivo in a cell cycle dependent manner, its association being maximal in late G1 phase and decreasing as cells enter S phase (PMID:11694575).",ORC4L;G22P1;G22P2;ORC2L;LATHEO ORC3L;ORC6L
5252,Htt-Dctn1-Hap1 complex,Mouse,O08788;O35668;P42859,13191;15114;15194,Dynactin subunit 1 ;Huntingtin-associated protein 1 ;Huntingtin,Dctn1;Hap1;Htt,The authors demonstrate that htt is a processivity factor that increases the transport efficiency of BDNF-containing vesicles along MTs. The alteration of the huntingtin/HAP1/p150(Glued) complex correlates with reduced association of motor proteins with microtubules.,;;Hd Hdh
5253,MNK1-eIF4F complex,Human,P06730;P60842;P78344;Q04637;Q9BUB5,1977;1973;1982;1981;8569,Eukaryotic translation initiation factor 4E ;Eukaryotic initiation factor 4A-I ;Eukaryotic translation initiation factor 4 gamma 2 ;Eukaryotic translation initiation factor 4 gamma 1 ;MAP kinase-interacting serine/threonine-protein kinase 1,EIF4E;EIF4A1;EIF4G2;EIF4G1;MKNK1,Mnk1 is associated with the eIF4F complex.,EIF4EL1 EIF4F;DDX2A EIF4A;DAP5;EIF4F EIF4G EIF4GI;MNK1
5260,TCF4-CTNNB1-SUMO1-EP300-HADAC6 complex,Human,P15884;P35222;P63165;Q09472;Q9UBN7,6925;1499;7341;2033;10013,Transcription factor 4 ;Catenin beta-1 ;Small ubiquitin-related modifier 1 ;Histone acetyltransferase p300 ;Histone deacetylase 6,TCF4;CTNNB1;SUMO1;EP300;HDAC6,None,BHLHB19 ITF2 SEF2;CTNNB;SMT3C SMT3H3 UBL1;P300;KIAA0901
5261,TCF4-CTNNB1-EP300 complex,Human,P15884;P35222;Q09472,6925;1499;2033,Transcription factor 4 ;Catenin beta-1 ;Histone acetyltransferase p300,TCF4;CTNNB1;EP300,None,BHLHB19 ITF2 SEF2;CTNNB;P300
5262,TCF4-CTNNB1 complex,Human,P15884;P35222,6925;1499,Transcription factor 4 ;Catenin beta-1,TCF4;CTNNB1,None,BHLHB19 ITF2 SEF2;CTNNB
5264,TCF4-CTNNB1-CREBBP complex,Human,P15884;P35222;Q92793,6925;1499;1387,Transcription factor 4 ;Catenin beta-1 ;CREB-binding protein,TCF4;CTNNB1;CREBBP,None,BHLHB19 ITF2 SEF2;CTNNB;CBP
5266,TNF-alpha/NF-kappa B signaling complex 6,Human,O14920;O15111;P07900;P08238;P22087;P36578;P62277;P62280;P62888;P62917;Q02878;Q16543;Q99558;Q9Y6K9,3551;1147;3320;3326;2091;6124;6207;6205;6156;6132;6128;11140;9020;8517,Inhibitor of nuclear factor kappa-B kinase subunit beta ;Inhibitor of nuclear factor kappa-B kinase subunit alpha ;Heat shock protein HSP 90-alpha ;Heat shock protein HSP 90-beta ;rRNA 2'-O-methyltransferase fibrillarin ;60S ribosomal protein L4 ;40S ribosomal protein S13;40S ribosomal protein S11;60S ribosomal protein L30;60S ribosomal protein L8;60S ribosomal protein L6 ;Hsp90 co-chaperone Cdc37 ;Mitogen-activated protein kinase kinase kinase 14 ;NF-kappa-B essential modulator,IKBKB;CHUK;HSP90AA1;HSP90AB1;FBL;RPL4;RPS13;RPS11;RPL30;RPL8;RPL6;CDC37;MAP3K14;IKBKG,None,IKKB;IKKA TCF16;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;FIB1 FLRN;RPL1;;;;;TXREB1;CDC37A;NIK;FIP3 NEMO
5267,VHL-VDU1-TCEB1-TCEB2 complex,Human,P40337;Q15369;Q15370;Q8TEY7,7428;6921;6923;23032,Von Hippel-Lindau disease tumor suppressor ;Transcription elongation factor B polypeptide 1 ;Transcription elongation factor B polypeptide 2 ;Ubiquitin carboxyl-terminal hydrolase 33,VHL;TCEB1;TCEB2;USP33,"Only in the presence of VHL, VDU1 could be precipitated along with VHL, Elongin B and Elongin C.",;;;KIAA1097 VDU1
5268,TNF-alpha/NF-kappa B signaling complex 7,Human,O43318;P07900;P08238;Q13451;Q15750;Q16543;Q8N5C8;Q9NYJ8,6885;3320;3326;2289;10454;11140;257397;23118,Mitogen-activated protein kinase kinase kinase 7 ;Heat shock protein HSP 90-alpha ;Heat shock protein HSP 90-beta ;Peptidyl-prolyl cis-trans isomerase FKBP5 ;TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 ;Hsp90 co-chaperone Cdc37 ;TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 ;TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,MAP3K7;HSP90AA1;HSP90AB1;FKBP5;TAB1;CDC37;TAB3;TAB2,None,TAK1;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;AIG6 FKBP51;MAP3K7IP1;CDC37A;MAP3K7IP3;KIAA0733 MAP3K7IP2
5269,TNF-alpha/NF-kappa B signaling complex 8,Human,P07900;P08238;Q13451;Q14164;Q16543;Q86UP2,3320;3326;2289;9641;11140;3895,Heat shock protein HSP 90-alpha ;Heat shock protein HSP 90-beta ;Peptidyl-prolyl cis-trans isomerase FKBP5 ;Inhibitor of nuclear factor kappa-B kinase subunit epsilon ;Hsp90 co-chaperone Cdc37 ;Kinectin,HSP90AA1;HSP90AB1;FKBP5;IKBKE;CDC37;KTN1,None,HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;AIG6 FKBP51;IKKE IKKI KIAA0151;CDC37A;CG1 KIAA0004
5270,VHL-TCEB1-TCEB2 complex,Human,P40337;Q15369;Q15370,7428;6921;6923,Von Hippel-Lindau disease tumor suppressor ;Transcription elongation factor B polypeptide 1 ;Transcription elongation factor B polypeptide 2,VHL;TCEB1;TCEB2,None,;;
5271,Kif3-cadherin-catenin complex,Mouse,P15116;P30999;P70188;Q02248;Q61771,12558;12388;16579;12387;16569,Cadherin-2 ;Catenin delta-1 ;Kinesin-associated protein 3 ;Catenin beta-1 ;Kinesin-like protein KIF3B,Cdh2;Ctnnd1;Kifap3;Ctnnb1;Kif3b,None,;Catns Kiaa0384;;Catnb;
5273,VHL-TBP1-HIF1A complex,Human,P17980;P40337;Q16665,5702;7428;3091,26S protease regulatory subunit 6A ;Von Hippel-Lindau disease tumor suppressor ;Hypoxia-inducible factor 1-alpha,PSMC3;VHL;HIF1A,TBP-1 associates with the beta-domain of VHL and complexes with VHL and Hif1-alpha in vivo. The ability of VHL to degrade Hif1-alpha depends in part on its interaction with TBP-1 and suggests a new mechanism for Hif1-alpha stabilization in some VHL-deficient tumors.,TBP1;;BHLHE78 MOP1 PASD8
5274,Cell-cell junction complex (ARHGAP10-CTNNA1),Human,A1A4S6;P35221,79658;1495,Rho GTPase-activating protein 10 ;Catenin alpha-1,ARHGAP10;CTNNA1,ARHGAP10 is a new component of cell-cell junctions that controls alpha-catenin recruitment and has a key role during L. monocytogenes uptake.,GRAF2;
5276,HIF1A-OS9-EGLN1 complex,Human,Q13438;Q16665;Q9GZT9,10956;3091;54583,Protein OS-9 ;Hypoxia-inducible factor 1-alpha ;Egl nine homolog 1,OS9;HIF1A;EGLN1,"The results indicate that OS-9 and PHD2 bind to different regions of HIF-1-alpha, and therefore may bind simultaneously. The results show enhanced binding of PHD2 to V5-OS-9  in the presence of HIF-1-alpha.",;BHLHE78 MOP1 PASD8;C1orf12
5277,HIF1A-OS9-EGLN3 complex,Human,Q13438;Q16665;Q9H6Z9,10956;3091;112399,Protein OS-9 ;Hypoxia-inducible factor 1-alpha ;Egl nine homolog 3,OS9;HIF1A;EGLN3,"Similar to its effect on PHD2, OS-9 stimulates the binding of PHD3 to HIF-1-alpha and cooperates with PHD3 to inhibit HIF-1 transcriptional activity.",;BHLHE78 MOP1 PASD8;
5280,RAB9-TIP47-MPRI complex,Human,O60664;P11717;P51151,10226;3482;9367,Perilipin-3 ;Cation-independent mannose-6-phosphate receptor ;Ras-related protein Rab-9A,PLIN3;IGF2R;RAB9A,Rab9 bound to immobilized CI-MPR only in the presence of TIP47 in a concentration-dependent manner. Thus TIP47 formed a ternary complex linking the CI-MPR and Rab9.,M6PRBP1 TIP47;MPRI;RAB9
5281,Cell-cell junction complex (CDH1-CTNNB1),Human,P12830;P35222,999;1499,Cadherin-1 ;Catenin beta-1,CDH1;CTNNB1,None,CDHE UVO;CTNNB
5282,CAS-SRC-FAK complex,Human,P12931;P56945;Q05397,6714;9564;5747,Proto-oncogene tyrosine-protein kinase Src ;Breast cancer anti-estrogen resistance protein 1 ;Focal adhesion kinase 1,SRC;BCAR1;PTK2,None,SRC1;CAS CASS1 CRKAS;FAK FAK1
5283,tRNA splicing endonuclease,Human,Q7Z6J9;Q8NCE0;Q8WW01;Q92989;Q9BSV6,283989;80746;116461;10978;79042,tRNA-splicing endonuclease subunit Sen54 ;tRNA-splicing endonuclease subunit Sen2 ;tRNA-splicing endonuclease subunit Sen15 ;Polyribonucleotide 5'-hydroxyl-kinase Clp1 ;tRNA-splicing endonuclease subunit Sen34,TSEN54;TSEN2;TSEN15;CLP1;TSEN34,None,SEN54;SEN2;C1orf19 SEN15;HEAB;LENG5 SEN34
5284,"RNA endonuclease (SEN2deltaEx8, SEN54, CLP1)",Human,Q7Z6J9;Q8NCE0;Q92989,283989;80746;10978,tRNA-splicing endonuclease subunit Sen54 ;tRNA-splicing endonuclease subunit Sen2 ;Polyribonucleotide 5'-hydroxyl-kinase Clp1,TSEN54;TSEN2;CLP1,"TSEN2 is an alternatively spliced gene. SEN2deltaEx8 is the variant lacking exon 8. The complex formed with variant SEN2deltaEx8 does not properly cleave pre-tRNAs, although it does retain endonucleolytic activity. It is likely that the SEN2deltaEx8-containing complex is not a tRNA splicing endonuclease but is responsible for processing as yet unknown RNA substrates.",SEN54;SEN2;HEAB
5285,TNF-alpha/NF-kappa B signaling complex 9,Human,O15111;P08238;Q13451;Q15653;Q16543,1147;3326;2289;4793;11140,Inhibitor of nuclear factor kappa-B kinase subunit alpha ;Heat shock protein HSP 90-beta ;Peptidyl-prolyl cis-trans isomerase FKBP5 ;NF-kappa-B inhibitor beta ;Hsp90 co-chaperone Cdc37,CHUK;HSP90AB1;FKBP5;NFKBIB;CDC37,None,IKKA TCF16;HSP90B HSPC2 HSPCB;AIG6 FKBP51;IKBB TRIP9;CDC37A
5286,TNF-alpha/NF-kappa B signaling complex 10,Human,O15111;P07900;P08238;P40222;Q15653;Q16543;Q676U5;Q8IX12;Q9UHD2;Q9Y6K9,1147;3320;3326;200081;4793;11140;55054;None;29110;8517,Inhibitor of nuclear factor kappa-B kinase subunit alpha ;Heat shock protein HSP 90-alpha ;Heat shock protein HSP 90-beta ;Alpha-taxilin;NF-kappa-B inhibitor beta ;Hsp90 co-chaperone Cdc37 ;Autophagy-related protein 16-1 ;Cell division cycle and apoptosis regulator protein 1 ;Serine/threonine-protein kinase TBK1 ;NF-kappa-B essential modulator,CHUK;HSP90AA1;HSP90AB1;TXLNA;NFKBIB;CDC37;ATG16L1;CCAR1;TBK1;IKBKG,None,IKKA TCF16;HSP90A HSPC1 HSPCA;HSP90B HSPC2 HSPCB;TXLN;IKBB TRIP9;CDC37A;APG16L;CARP1 DIS;NAK;FIP3 NEMO
5288,P53-BARD1-Ku70 complex,Human,P04637;P12956;Q99728,7157;2547;580,Cellular tumor antigen p53 ;X-ray repair cross-complementing protein 6 ;BRCA1-associated RING domain protein 1,TP53;XRCC6;BARD1,None,P53;G22P1;
5291,Cd3e-Nck1-Mink1 complex,Mouse,P22646;Q8BMV0;Q9JM52,12501;17973;50932,T-cell surface glycoprotein CD3 epsilon chain ;Putative uncharacterized protein ;Misshapen-like kinase 1,Cd3e;Nck1;Mink1,None,;;Map4k6 Mink
5292,Ets2-Ini1-Smarce1-Smarca4 complex,Mouse,O35845;O54941;P15037;Q9Z0H3,20586;57376;23872;20587,Brg1 protein ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 ;Protein C-ets-2;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,Smarca4;Smarce1;Ets2;Smarcb1,None,Brg1;Baf57;;Baf47 Ini1 Snf5l1
5293,ETS2-SMARCA4-INI1 complex,Human,P15036;P51532;Q12824,2114;6597;6598,Protein C-ets-2;Transcription activator BRG1 ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,ETS2;SMARCA4;SMARCB1,"Brg-1 and Ini1 could be detected in complex with ets-2 after tetracycline removal, but not in cells maintained in tetracycline.",;BAF190A BRG1 SNF2B SNF2L4;BAF47 INI1 SNF5L1
5295,Cd247 homodimer complex,Mouse,P24161,12503,T-cell surface glycoprotein CD3 zeta chain,Cd247,None,Cd3z Tcrz
5296,Cd3e homodimer complex,Mouse,P22646,12501,T-cell surface glycoprotein CD3 epsilon chain,Cd3e,None,None
5301,Striatin-SG2NA-zinedin-caveolin1 complex,Rat,P41350;P58404;P58405;P70483,25404;97387;114520;29149,Caveolin-1;Striatin-4 ;Striatin-3 ;Striatin,Cav1;Strn4;Strn3;Strn,"Caveolin-1 may directly regulate the function of the proteins of the striatin family, by concentrating them within caveolin-enriched domains.",Cav;Zin;Gs2na Sg2na;
5302,Rab3a-Rims2-Rapgef4 complex,Mouse,P63011;Q9EQZ6;Q9EQZ7,19339;56508;116838,Ras-related protein Rab-3A;Rap guanine nucleotide exchange factor 4 ;Regulating synaptic membrane exocytosis protein 2,Rab3a;Rapgef4;Rims2,"Rab3A-Rim2-cAMP-GEFII complex was formed in vitro when Rab3A was in the GTP-activated form. The authors showed that cAMP-GEFII is a direct target of cAMP in regulated exocytosis and is responsible for cAMP-dependent, PKA-independent exocytosis.",;Cgef2 Epac2;Rab3ip2 Rim2
5308,Rb-NeuroD1-Ngfi-B complex,Mouse,P12813;Q60867;Q64701,15370;18012;19650,Nuclear receptor subfamily 4 group A member 1 ;Neurogenic differentiation factor 1 ;Retinoblastoma-like protein 1,Nr4a1;Neurod1;Rbl1,Rb provides a bridge to bring together NGFI-B and NeuroD1 within a trimeric complex.,Gfrp Hmr N10 Nur77;Neurod;
5309,Cd3g-Cd3e complex,Mouse,P11942;P22646,12502;12501,T-cell surface glycoprotein CD3 gamma chain ;T-cell surface glycoprotein CD3 epsilon chain,Cd3g;Cd3e,None,;
5310,Cd3d-Cd3g-Cd3e-Cd247 complex,Mouse,P04235;P11942;P22646;P24161,12500;12502;12501;12503,T-cell surface glycoprotein CD3 delta chain ;T-cell surface glycoprotein CD3 gamma chain ;T-cell surface glycoprotein CD3 epsilon chain ;T-cell surface glycoprotein CD3 zeta chain,Cd3d;Cd3g;Cd3e;Cd247,None,T3d;;;Cd3z Tcrz
5311,Cd3g-Cd3e-Cd247-Canx complex,Mouse,P11942;P22646;P24161;P35564,12502;12501;12503;12330,T-cell surface glycoprotein CD3 gamma chain ;T-cell surface glycoprotein CD3 epsilon chain ;T-cell surface glycoprotein CD3 zeta chain ;Calnexin,Cd3g;Cd3e;Cd247;Canx,None,;;Cd3z Tcrz;
5315,Munc13-1-Rim2-Rab3a complex,Rat,P63012;Q62768;Q9JIS1,25531;64829;116839,Ras-related protein Rab-3A;Protein unc-13 homolog A ;Regulating synaptic membrane exocytosis protein 2,Rab3a;Unc13a;Rims2,"The results show that the N-terminal sequence of alpha-RIMs has a modular design that places Rab3A and Munc13-1 into close proximity, but not into competition.",;Unc13h1;Rim2
5317,LATS1-HTRA2-BIRC4 complex,Human,O43464;O95835;P98170,27429;9113;331,"Serine protease HTRA2, mitochondrial ;Serine/threonine-protein kinase LATS1 ;E3 ubiquitin-protein ligase XIAP",HTRA2;LATS1;XIAP,WARTS forms a complex with XIAP while interacting with Omi and is potentially involved in the cell death through the inhibition of XIAP.,OMI PRSS25;WARTS;API3 BIRC4 IAP3
5318,DDEF1-CTTN-PXN complex,Human,P49023;Q14247;Q9ULH1,5829;2017;50807,"Paxillin;Src substrate cortactin ;Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",PXN;CTTN;ASAP1,"This co-precipitation was only detected in highly invasive cells, such as MDA-MB-231 and 4T1/luc, but was undetectable in weak or noninvasive cells, such as MDA-MB-468 and MCF7, as well as in normal mammary epithelial cells. The authors describe that AMAP1 bridges cortactin and paxillin in highly invasive cells.",;EMS1;DDEF1 KIAA1249
5319,CDH1-CKS1B complex,Human,P12830;P61024,999;1163,Cadherin-1 ;Cyclin-dependent kinases regulatory subunit 1,CDH1;CKS1B,None,CDHE UVO;CKS1
5320,CDH1-SKP2 complex,Human,P12830;Q13309,999;6502,Cadherin-1 ;S-phase kinase-associated protein 2,CDH1;SKP2,None,CDHE UVO;FBXL1
5321,Cebpa-Smarca2 complex,Mouse,O35846;P53566,67155;12606,Brm protein ;CCAAT/enhancer-binding protein alpha,Smarca2;Cebpa,The cEBP-alpha-Brm protein complex was detected in liver extracts from old isochronic parabionts but not from young isochronic parabionts.,brm;Cebp
5330,Lef1-Tle1 complex,Mouse,P27782;Q62440,16842;21885,Lymphoid enhancer-binding factor 1 ;Transducin-like enhancer protein 1,Lef1;Tle1,"In the absence of nuclear beta-catenin, Tcf/Lefs act as transcriptional repressors by binding to Groucho/TLE proteins.",Lef-1;Grg1
5331,YY1-MDM2-p53 complex,Human,P04637;P25490;Q00987,7157;7528;4193,Cellular tumor antigen p53 ;Transcriptional repressor protein YY1 ;E3 ubiquitin-protein ligase Mdm2,TP53;YY1;MDM2,"YY1 is a potential cofactor for MDM2 in the regulation of p53 homeostasis. The physical interaction of YY1 with MDM2 appears to be important for efficient MDM2-p53 interaction in vivo, which in turn is necessary for p53 ubiquitination.",P53;INO80S;
5333,Lef1-Tle1-Ctnnb1 complex,Mouse,P27782;Q02248;Q62440,16842;12387;21885,Lymphoid enhancer-binding factor 1 ;Catenin beta-1 ;Transducin-like enhancer protein 1,Lef1;Ctnnb1;Tle1,"In the absence of nuclear beta-catenin, Tcf/Lefs act as transcriptional repressors by binding to Groucho/TLE proteins.",Lef-1;Catnb;Grg1
5337,ELMO1-DOCK1 complex,Human,Q14185;Q92556,1793;9844,Dedicator of cytokinesis protein 1 ;Engulfment and cell motility protein 1,DOCK1;ELMO1,Dock-ELMO complex functions as an unconventional two-part exchange factor for Rac.,;KIAA0281
5341,ELMO1-DOCK2 complex,Human,Q92556;Q92608,9844;1794,Engulfment and cell motility protein 1 ;Dedicator of cytokinesis protein 2,ELMO1;DOCK2,Dock-ELMO complex functions as an unconventional two-part exchange factor for Rac.,KIAA0281;KIAA0209
5342,ELMO1-DOCK1-RAC1 complex,Human,P63000;Q14185;Q92556,5879;1793;9844,Ras-related C3 botulinum toxin substrate 1 ;Dedicator of cytokinesis protein 1 ;Engulfment and cell motility protein 1,RAC1;DOCK1;ELMO1,Dock-ELMO complex functions as an unconventional two-part exchange factor for Rac.,TC25;;KIAA0281
5343,ELMO1-DOCK1-CRKII complex,Human,P46108;Q14185;Q92556,1398;1793;9844,Adapter molecule crk ;Dedicator of cytokinesis protein 1 ;Engulfment and cell motility protein 1,CRK;DOCK1;ELMO1,None,;;KIAA0281
5344,Endocytic coat complex (11 subunits),Rat,O08838;O08839;O35179;O35964;P11442;P17426;P21575;P62944;Q05140;Q5JC29;Q62910,60668;117028;116743;81922;54241;11771;140694;140670;65178;313474;85238,Amphiphysin;Myc box-dependent-interacting protein 1 ;Endophilin-A1 ;Endophilin-A2 ;Clathrin heavy chain 1;AP-2 complex subunit alpha-1 ;Dynamin-1 ;AP-2 complex subunit beta ;Clathrin coat assembly protein AP180 ;Epidermal growth factor receptor pathway substrate 15 isoform B;Synaptojanin-1,Amph;Bin1;Sh3gl2;Sh3gl1;Cltc;Ap2a1;Dnm1;Ap2b1;Snap91;Eps15;Synj1,"Clathrin-mediated endocytosis involves cycles of assembly and disassembly of clathrin coat components and their accessory proteins. Dephosphorylation of rat brain extract was shown to promote the assembly of dynamin 1, synaptojanin 1, and amphiphysin into complexes that also included clathrin and AP-2.",Amph1;Amph2 Amphl;Sh3d2a Sh3p4;Sh3p8;;Adtaa Clapa1;Dnm;Clapb1;;;
5345,Endocytic coat complex (7 subunits),Rat,O08838;O08839;P11442;P17426;P21575;P62944;Q62910,60668;117028;54241;11771;140694;140670;85238,Amphiphysin;Myc box-dependent-interacting protein 1 ;Clathrin heavy chain 1;AP-2 complex subunit alpha-1 ;Dynamin-1 ;AP-2 complex subunit beta ;Synaptojanin-1,Amph;Bin1;Cltc;Ap2a1;Dnm1;Ap2b1;Synj1,"Clathrin-mediated endocytosis involves cycles of assembly and disassembly of clathrin coat components and their accessory proteins. Dephosphorylation of rat brain extract was shown to promote the assembly of dynamin 1, synaptojanin 1, and amphiphysin into complexes that also included clathrin and AP-2.",Amph1;Amph2 Amphl;;Adtaa Clapa1;Dnm;Clapb1;
5348,Pik3r5-Pik3cg complex,Mouse,Q5SW28;Q9JHG7,320207;30955,"Phosphoinositide 3-kinase regulatory subunit 5 ;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Pik3r5;Pik3cg,None,;Pi3kg1
5358,GTP-Rho-Rhpn1-Ropn1 complex,Mouse,Q3TN61;Q61085;Q9ESG2,11848;14787;76378,Putative uncharacterized protein;Rhophilin-1 ;Ropporin-1,Rhoa;Rhpn1;Ropn1,None,;Grbp;
5360,AGO2-FXR1-TNF(alpha)ARE-RNP complex,Human,P51114;Q9UKV8,8087;27161,Fragile X mental retardation syndrome-related protein 1 ;Protein argonaute-2,FXR1;AGO2,AGO2 functions as translational activator under serum-starved conditions.,;EIF2C2
5361,"Cell division cycle complex (CDC27, CDC16, ANAPC7)",Human,P30260;Q13042;Q9UJX3,996;8881;51434,Cell division cycle protein 27 homolog ;Cell division cycle protein 16 homolog ;Anaphase-promoting complex subunit 7,CDC27;CDC16;ANAPC7,None,ANAPC3 D0S1430E D17S978E;ANAPC6;APC7
5363,"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)",Human,P24928;P35269;Q00839,5430;2962;3192,DNA-directed RNA polymerase II subunit RPB1 ;General transcription factor IIF subunit 1 ;Heterogeneous nuclear ribonucleoprotein U,POLR2A;GTF2F1;HNRNPU,None,POLR2;RAP74;HNRPU SAFA U21.1
5365,Ripk2-Nod2 complex,Mouse,P58801;Q8K3Z0,192656;257632,Receptor-interacting serine/threonine-protein kinase 2 ;Nucleotide-binding oligomerization domain-containing protein 2,Ripk2;Nod2,Nod2 binding to R2 and Rip2 expression are necessary for Nod2 to Induce ubiquitinylation of Nemo protein.,;Card15
5366,Calm1-Ryr1 complex,Rat,F1LMY4;P62161,114207;None,Ryanodine receptor 1 ;Calmodulin,Ryr1;Calm1; Cal,None,;Calm Cam Cam1; Cam2 Camb; Cam3 Camc
5367,THRB-RXRB complex,Human,P10828;P28702,7068;6257,Thyroid hormone receptor beta ;Retinoic acid receptor RXR-beta,THRB;RXRB,None,ERBA2 NR1A2 THR1;NR2B2
5369,ATM homodimer complex,Human,Q13315,472,Serine-protein kinase ATM,ATM,None,None
5370,ERAP1-ERAP2 complex,Human,Q6P179;Q9NZ08,64167;51752,Endoplasmic reticulum aminopeptidase 2 ;Endoplasmic reticulum aminopeptidase 1,ERAP2;ERAP1,None,LRAP;APPILS ARTS1 KIAA0525
5371,Grancalcin-sorcin complex,Human,P28676;P30626,25801;6717,Grancalcin;Sorcin,GCA;SRI,None,GCL;
5372,Sorcin homodimer complex,Human,P30626,6717,Sorcin,SRI,"The penta-EF hand (PEF) family of calcium binding proteins includes grancalcin, peflin, sorcin, calpain large and small subunits as well as ALG-2. Heterodimerization, in addition to differential interactions with target proteins, might be a way to regulate and fine tune processes mediated by calcium binding proteins of the penta-EF hand type.",None
5373,"Chromatin remodeling complex (TACC2, TACC3, PCAF)",Human,O95359;Q92831;Q9Y6A5,10579;8850;10460,Transforming acidic coiled-coil-containing protein 2 ;Histone acetyltransferase KAT2B ;Transforming acidic coiled-coil-containing protein 3,TACC2;KAT2B;TACC3,None,;PCAF;ERIC1
